,Name,Evolution,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Species,Height,Weight,abilities,ev_yield,catch_rate,base_friendship,base_experience,growth_rate,eggs_groups,gender_rate,eggs_cycles_rate
0,Bulbasaur, ,Grass Poison,318,45,49,49,65,65,45,Seed Pokémon,0.7 m (2′04″),6.9 kg (15.2 lbs),1. OvergrowChlorophyll (hidden ability),1 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),64,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
1,Ivysaur, ,Grass Poison,405,60,62,63,80,80,60,Seed Pokémon,1.0 m (3′03″),13.0 kg (28.7 lbs),1. OvergrowChlorophyll (hidden ability),"1 Special Attack, 1 Special Defense","45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
2,Venusaur, ,Grass Poison,525,80,82,83,100,100,80,Seed Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs),1. OvergrowChlorophyll (hidden ability),"2 Special Attack, 1 Special Defense","45 (5.9% with PokéBall, full HP)",50 (normal),236,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
3,Venusaur,Mega Venusaur,Grass Poison,625,80,100,123,122,120,80,Seed Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs),1. OvergrowChlorophyll (hidden ability),"2 Special Attack, 1 Special Defense","45 (5.9% with PokéBall, full HP)",50 (normal),236,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
4,Charmander, ,Fire ,309,39,52,43,60,50,65,Lizard Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),1. BlazeSolar Power (hidden ability),1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
5,Charmeleon, ,Fire ,405,58,64,58,80,65,80,Flame Pokémon,1.1 m (3′07″),19.0 kg (41.9 lbs),1. BlazeSolar Power (hidden ability),"1 Special Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
6,Charizard, ,Fire Flying,534,78,84,78,109,85,100,Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs),1. BlazeSolar Power (hidden ability),3 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),240,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
7,Charizard,Mega Charizard X,Fire Dragon,634,78,130,111,130,85,100,Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs),1. BlazeSolar Power (hidden ability),3 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),240,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
8,Charizard,Mega Charizard Y,Fire Flying,634,78,104,78,159,115,100,Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs),1. BlazeSolar Power (hidden ability),3 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),240,Medium Slow,"Dragon, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
9,Squirtle, ,Water ,314,44,48,65,50,64,43,Tiny Turtle Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),1. TorrentRain Dish (hidden ability),1 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),63,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
10,Wartortle, ,Water ,405,59,63,80,65,80,58,Turtle Pokémon,1.0 m (3′03″),22.5 kg (49.6 lbs),1. TorrentRain Dish (hidden ability),"1 Defense, 1 Special Defense","45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
11,Blastoise, ,Water ,530,79,83,100,85,105,78,Shellfish Pokémon,1.6 m (5′03″),85.5 kg (188.5 lbs),1. TorrentRain Dish (hidden ability),3 Special Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
12,Blastoise,Mega Blastoise,Water ,630,79,103,120,135,115,78,Shellfish Pokémon,1.6 m (5′03″),85.5 kg (188.5 lbs),1. TorrentRain Dish (hidden ability),3 Special Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
13,Caterpie, ,Bug ,195,45,30,35,20,20,45,Worm Pokémon,0.3 m (1′00″),2.9 kg (6.4 lbs),1. Shield DustRun Away (hidden ability),1 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),39,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
14,Metapod, ,Bug ,205,50,20,55,25,25,30,Cocoon Pokémon,0.7 m (2′04″),9.9 kg (21.8 lbs),1. Shed Skin,2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),72,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
15,Butterfree, ,Bug Flying,395,60,45,50,90,80,70,Butterfly Pokémon,1.1 m (3′07″),32.0 kg (70.5 lbs),1. Compound EyesTinted Lens (hidden ability),"2 Special Attack, 1 Special Defense","45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
16,Weedle, ,Bug Poison,195,40,35,30,20,20,50,Hairy Bug Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs),1. Shield DustRun Away (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),39,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
17,Kakuna, ,Bug Poison,205,45,25,50,25,25,35,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),1. Shed Skin,2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),72,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
18,Beedrill, ,Bug Poison,395,65,90,40,45,80,75,Poison Bee Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),1. SwarmSniper (hidden ability),"2 Attack, 1 Special Defense","45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
19,Beedrill,Mega Beedrill,Bug Poison,495,65,150,40,15,80,145,Poison Bee Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),1. SwarmSniper (hidden ability),"2 Attack, 1 Special Defense","45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
